cwe,arm,train_pairs,repairs,initial_compiled,final_compiled,best_compiled,initial_strict,final_strict,best_strict,final_compilation_fail,final_detection_fail,final_discrimination_fail,terminal_reason,tokens,model_wall_sec,codeql_runtime_sec,library_lookups,retrieved_skills,arm_c_source_events
CWE-116,V0_BASELINE_COMPILER_FEEDBACK,7,4,0,0,0,0,0,0,7,0,0,REPAIR4_EXHAUSTED,126404,324.606641,868.24,0,0,0
CWE-116,V1_LIBRARY_AWARE_REASONING,7,4,0,7,7,0,0,0,0,1,6,REPAIR4_EXHAUSTED,361253,289.867271,765.1,8,0,0
CWE-116,V2_AUTO_SKILL_RETRIEVAL,7,4,0,7,7,0,0,0,0,0,7,REPAIR4_EXHAUSTED,133550,317.180302,717.52,0,16,0
CWE-116,V3_LIBRARY_PLUS_AUTO_SKILL,7,4,0,0,7,0,0,0,7,0,0,REPAIR4_EXHAUSTED,358590,454.7317,952.72,6,12,0
CWE-284,V0_BASELINE_COMPILER_FEEDBACK,14,4,0,0,0,0,0,0,14,0,0,REPAIR4_EXHAUSTED,309138,158.847849,1318.94,0,0,0
CWE-284,V1_LIBRARY_AWARE_REASONING,14,4,0,0,0,0,0,0,14,0,0,REPAIR4_EXHAUSTED,986930,242.773162,1702.99,7,0,0
CWE-284,V2_AUTO_SKILL_RETRIEVAL,14,4,0,0,0,0,0,0,14,0,0,REPAIR4_EXHAUSTED,320231,231.668591,1704.08,0,16,0
CWE-284,V3_LIBRARY_PLUS_AUTO_SKILL,14,4,0,0,0,0,0,0,14,0,0,REPAIR4_EXHAUSTED,1082966,409.140579,1564.83,8,16,0
CWE-434,V0_BASELINE_COMPILER_FEEDBACK,11,4,0,0,0,0,0,0,11,0,0,REPAIR4_EXHAUSTED,186183,163.078859,1297.17,0,0,0
CWE-434,V1_LIBRARY_AWARE_REASONING,11,4,0,0,0,0,0,0,11,0,0,REPAIR4_EXHAUSTED,534200,360.630638,1290.12,8,0,0
CWE-434,V2_AUTO_SKILL_RETRIEVAL,11,4,0,0,0,0,0,0,11,0,0,REPAIR4_EXHAUSTED,195817,255.300061,1380.62,0,16,0
CWE-434,V3_LIBRARY_PLUS_AUTO_SKILL,11,4,0,0,0,0,0,0,11,0,0,REPAIR4_EXHAUSTED,458477,220.240256,1388.41,6,16,0
CWE-639,V0_BASELINE_COMPILER_FEEDBACK,7,4,0,0,0,0,0,0,7,0,0,REPAIR4_EXHAUSTED,138536,284.33239,789.61,0,0,0
CWE-639,V1_LIBRARY_AWARE_REASONING,7,4,0,0,0,0,0,0,7,0,0,REPAIR4_EXHAUSTED,450851,454.82188,848.26,8,0,0
CWE-639,V2_AUTO_SKILL_RETRIEVAL,7,4,0,0,0,0,0,0,7,0,0,REPAIR4_EXHAUSTED,140073,230.767725,816.29,0,16,0
CWE-639,V3_LIBRARY_PLUS_AUTO_SKILL,7,4,0,0,0,0,0,0,7,0,0,REPAIR4_EXHAUSTED,296813,343.212178,984.59,5,16,0
